Gene Name,Order,B73 GeneID,Mo17 GeneID,Syntenic,Percent Protein Identity,B73 Husk-Encased vs Emerged Diff. Exp.,Mo17 Husk-Encased vs Emerged Diff. Exp.,Enzyme,Enzyme Class,Total Identities,Total Possible Identities,Gaps,Characterization,Cluster
FNSII1,NA,Zm00001d024946,Zm00014a010120,Yes,100%,No,No,Flavone synthase,FNSII,544,544,0,https://doi.org/10.1111/pce.13428,Cluster 21
PAL9,NA,Zm00001d017275,Zm00014a010746,Yes,99.86%,No,No,Phenylalanine ammonia lyase,PAL ,718,719,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,Cluster 6
R1,NA,Zm00001d026147,Zm00014a007725,Yes,97.56%,No,No,bHLH Transcription factor,TF,601,616,9,https://link.springer.com/chapter/10.1007%2F978-1-4613-1037-2_12,Cluster 6
CML1,NA,Zm00001d015459,Zm00014a022059,Yes,96.01%,No,No,4-coumarate:CoA ligase,4CL,554,577,22,https://doi.org/10.1104/pp.106.086405,Cluster 9
C1,NA,Zm00001d044975,Zm00014a041836,Yes,75.64,No,No, R2R3-Myb Transcription factor,TF,208,275,56,https://doi.org/10.1073/pnas.83.24.9631,#N/A
CHI3,NA,Zm00001d012972,Zm00014a034327,No,97.40%,No,No,Chalcone isomerase,CHI,225,231,2,MaizeGDB https://doi.org/10.1093/nar/gkh011,#N/A
FLS1,NA,Zm00001d018184,Zm00014a042304,No,99.37%,No,No,Flavonol synthase,FLS ,313,315,0,https://doi.org/10.1111/j.1365-313X.2010.04133.x,#N/A
FLS2,NA,Zm00001d018181,Zm00014a042304,No,100%,No,No,Flavonol synthase,FLS ,315,315,0,https://doi.org/10.3389/fpls.2012.00101,#N/A
PAL3,NA,Zm00001d051161,Zm00014a036049,No,99.46%,No,No,Phenylalanine ammonia lyase,PAL ,554,557,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,#N/A
PAL4,NA,Zm00001d051166,Zm00014a036045,No,99.72%,No,No,Phenylalanine ammonia lyase,PAL ,714,716,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,#N/A
PAL8,NA,Zm00001d017276,Zm00014a010747,No,99.72%,No,No,Phenylalanine ammonia lyase,PAL ,702,704,0,MaizeGDB https://doi.org/10.1093/nar/gkh011,#N/A
